dining_table_0,dining_table_1,dining_table_2,dining_table_3,dining_table_4,dining_table_5
0.005428221,0.06231048,0.18910187,0.00012352824,0.0031626998,0.73987323
0.11734469,0.8731437,0.0005122689,0.008536675,0.00039833534,6.4356645e-05
0.26304948,0.6931966,0.000922792,0.00918752,0.03227405,0.0013695669
0.0036456045,0.05061737,4.175467e-05,0.44163933,0.40846714,0.09558884
0.0008261632,0.012909584,0.94350857,1.200215e-05,1.5383268e-05,0.04272825
6.717965e-11,1.0862696e-13,1.0856979e-13,1.0,3.0603492e-10,5.1265894e-09
0.9985238,0.00039037823,0.0010828814,1.1585103e-07,2.6749772e-06,1.9544615e-07
3.6932777e-06,5.6643785e-06,1.274687e-05,0.46162656,0.00076597795,0.5375854
0.014964069,0.03999662,0.9445311,3.8202335e-05,0.0001478684,0.0003222834
0.08136547,0.10011198,0.8133687,1.1335453e-05,0.00015745577,0.004985096
3.3713426e-05,0.99287355,0.00029552248,2.5294653e-07,0.0064852987,0.00031163843
0.0011910966,0.9231021,0.00012264246,0.02651951,0.033984076,0.015080526
0.031041438,0.007745263,0.00016895603,0.95870364,0.0020402626,0.00030048317
8.488271e-09,3.2411322e-07,0.00026619757,1.3603025e-07,2.0365987e-05,0.999713
7.88842e-07,1.00220925e-08,9.550611e-08,0.9998839,3.7306207e-05,7.788759e-05
0.00028471398,0.00035650347,0.06610299,0.0005670493,0.00038894254,0.9322998
0.00015207056,0.00029066898,0.99772745,7.0449204e-08,2.6858972e-05,0.0018028601
0.9978916,0.00021200663,8.972663e-05,0.0017958357,1.0097212e-05,8.3713576e-07
0.08110908,0.0735757,0.34658885,0.33626541,0.11412783,0.048333164
0.0037973628,0.010637508,3.954964e-05,0.90943664,0.009783199,0.06630577
1.0641425e-05,3.4601262e-06,0.00014039899,0.07466657,0.0006652277,0.92451364
4.6764244e-06,0.00014640932,6.973077e-06,0.0070691546,0.44629738,0.54647535
3.2723875e-08,2.646171e-08,1.0666643e-05,0.0010047341,2.5650604e-06,0.9989819
0.94267476,0.0021675841,0.033829607,0.017071856,0.001953628,0.0023024236
4.8754197e-07,0.99999464,1.4182011e-06,2.4653688e-09,3.1674765e-06,2.687496e-07
0.02726781,0.658143,0.0145633295,0.0825762,0.1846084,0.03284127
0.0001709788,0.9926583,0.007015652,5.3312867e-08,3.7368452e-05,0.00011763435
0.00038271918,0.00022325738,3.9053662e-05,0.28306863,0.22602205,0.49026427
6.6333537e-06,2.8894697e-06,0.00011970233,0.014881399,0.00076068385,0.98422873
6.48797e-06,6.0048075e-07,2.7168096e-05,0.54684055,5.189458e-05,0.45307335
0.0020524703,0.97561353,0.02232533,5.648269e-09,3.3379963e-06,5.2915275e-06
0.46848062,0.0009267944,9.746139e-05,0.5282335,0.0022427796,1.8879684e-05
0.006180519,0.9707908,0.008208067,4.51029e-06,0.00071183546,0.014104232
0.45006967,0.0002691188,0.0008404355,0.5476901,0.00032489956,0.0008057485
0.00020193806,7.5269104e-06,0.00032508036,0.00515267,9.264834e-05,0.99422014
0.013455022,0.0024606078,0.000112803464,0.83419466,0.14475508,0.005021842
0.0007327298,0.00022747452,0.004589587,0.10601566,0.00063020847,0.88780427
0.0006425673,2.8960842e-06,2.5515126e-05,0.95239794,0.0001072588,0.046823733
0.00035436347,0.00015502903,0.00013532696,0.5495238,0.025239863,0.42459166
0.5110309,0.02008226,0.46800274,0.00070555386,0.000114764705,6.37443e-05
0.23275314,0.66567177,0.0034869905,0.057908602,0.03933186,0.00084755936
9.5800694e-08,6.9270856e-12,2.0277948e-11,0.9999995,7.477901e-09,3.1567066e-07
0.00012032364,0.00053429866,9.144163e-06,0.96885836,0.009101933,0.021375995
7.413787e-05,9.2650065e-05,1.3398037e-05,0.23615825,0.033740573,0.729921
4.537346e-05,0.030175392,0.96973765,2.398049e-09,3.109624e-06,3.847727e-05
0.0003216569,0.00016879088,2.3672965e-05,6.145021e-05,0.9982273,0.0011971092
0.0015725017,0.99715185,0.0005397594,4.1703028e-05,0.00068221596,1.1855182e-05
8.879016e-05,0.013923508,0.32095322,2.2043838e-05,0.000292617,0.6647198
0.4907607,0.45904917,0.001788618,0.0036434378,0.04311107,0.0016469508
0.41524887,0.5676091,0.0016751694,0.009740418,0.0045764996,0.0011500223
0.6984026,0.0011652287,0.0014173693,0.29793173,0.0009871327,9.5926e-05
0.023807684,0.9735649,0.0017169795,2.5385938e-05,0.0006092762,0.00027571988
4.8323614e-07,6.5662054e-10,1.2242388e-10,0.99999654,4.4119696e-07,2.52319e-06
4.208885e-13,8.830585e-14,6.784279e-15,1.0,3.4958553e-10,1.0676102e-10
0.3095865,0.0019373158,7.345081e-05,0.6870989,0.00085151015,0.00045232446
0.0959179,0.8605349,0.001251086,0.025219828,0.016107423,0.0009689339
3.881648e-05,0.00012864314,9.929568e-06,0.0022711933,0.7134319,0.28411952
1.0583297e-05,0.9518785,7.851581e-06,0.000232645,0.046224426,0.0016461923
0.010015311,0.9842854,0.0024058484,0.00038457834,0.0028603324,4.8517457e-05
9.367578e-05,0.00055730704,0.0006647731,0.0061016893,0.0004902882,0.9920922
0.010070856,6.432323e-05,8.0152074e-07,0.989181,0.0006379853,4.5009507e-05
0.03364817,0.0033173496,0.96303093,1.5402488e-08,9.716582e-07,2.670263e-06
3.9456946e-08,5.782307e-11,3.4509082e-12,0.9999999,1.5180755e-07,1.0691925e-08
0.0020695054,0.90936494,0.010985345,0.0004457301,0.071169145,0.0059652934
0.109940514,0.08051179,0.03510323,0.3806038,0.09443202,0.29940867
0.08131244,3.19829e-07,5.590352e-07,0.9186807,4.585765e-06,1.3307769e-06
0.9999341,2.9246091e-06,5.7436162e-05,5.31127e-06,1.1889676e-07,4.3893005e-09
2.756847e-05,3.4064257e-08,2.7415286e-08,0.9999691,2.6553164e-06,6.53611e-07
0.9998598,0.00012541673,1.1095786e-05,2.9764533e-06,7.6885505e-07,3.9510383e-08
0.0016276947,0.0013205449,0.0022145663,0.00817358,0.10009933,0.8865644
4.0749083e-07,2.1829081e-07,9.432523e-09,0.999793,0.00013480757,7.159999e-05
0.0014871951,0.93764883,9.189379e-05,0.033950146,0.012849605,0.013972265
1.4200089e-06,1.3850516e-05,7.2024164e-08,0.9992908,0.0005659537,0.00012784071
0.08660995,0.017937526,0.055361703,0.37241372,0.0133796055,0.45429745
2.1568326e-06,0.99996984,2.1395253e-06,3.872281e-08,2.5593572e-05,2.655816e-07
0.013932605,0.00043790974,0.0015162432,0.9832184,0.0003799981,0.0005149067
