potted_plant_0,potted_plant_1,potted_plant_2,potted_plant_3,potted_plant_4
2.4539938e-06,0.00091343647,2.8088383e-05,0.9988844,0.00017154118
1.1269173e-06,4.581122e-06,6.253043e-07,2.7237348e-07,0.99999344
1.6866679e-07,0.36081496,4.491709e-06,0.6391235,5.691522e-05
0.00011420343,1.834592e-05,2.1185099e-06,6.494124e-08,0.9998653
7.332931e-05,0.034298413,5.787978e-07,3.2872018e-07,0.9656274
0.04589537,1.5972706e-05,6.0006363e-07,6.511878e-07,0.9540874
0.0047020717,8.410583e-05,1.5248621e-06,5.7681214e-06,0.99520653
0.00035763637,0.7799033,0.06048837,0.11635976,0.04289094
0.039038215,0.82196444,0.00020528493,0.03695931,0.10183278
2.4755743e-06,6.9245405e-05,2.1549212e-07,1.6038103e-07,0.9999279
0.05231586,0.6470198,0.00034846808,0.00071084773,0.29960498
1.3302039e-06,0.075875945,1.13498274e-07,0.0055624614,0.91856015
0.0005716141,0.96613455,0.00021130146,0.026795577,0.006286943
0.0011269843,0.7752235,0.00030042598,0.00015109392,0.22319806
0.0061521353,0.0027641724,1.920192e-06,5.85654e-05,0.9910232
0.70876193,0.0056912177,1.1904595e-05,6.235433e-05,0.28547257
6.525157e-06,0.23136859,4.5107605e-05,0.7391297,0.029450044
0.005456599,0.0027502538,1.0986865e-05,0.00022471044,0.9915575
0.001599796,0.60800165,5.3470623e-05,1.5763406e-05,0.39032936
2.142892e-06,0.999982,3.7588939e-07,1.1051206e-06,1.438569e-05
0.00020864765,0.9875793,3.2628348e-06,0.0034743268,0.0087344935
6.3993357e-06,0.9998969,1.4667494e-06,9.6892656e-08,9.516618e-05
0.00024404102,0.3608771,0.07261365,0.010853853,0.5554113
0.00016762213,0.5668299,0.007463156,0.36302453,0.062514775
