bed_0,bed_1,bed_2,bed_3,bed_4,bed_5
0.0027338113,1.1465061e-05,0.00018671523,0.00042916724,0.3362229,0.66041595
0.0108919265,3.673118e-05,0.031209858,0.0009869569,0.17816074,0.7787138
0.02024303,6.070843e-05,0.055442967,0.85505074,0.039226376,0.029976156
0.0062432545,1.5068714e-07,0.00010106421,3.2097178e-05,0.9927643,0.0008592268
6.787834e-05,1.708639e-07,0.9871759,1.437362e-05,0.012741204,5.745567e-07
1.830658e-05,6.47752e-09,7.1444407e-07,0.00024416993,0.0013044863,0.99843234
0.0012882843,0.008121598,0.79645693,0.016592793,0.0043844357,0.17315584
0.021280589,1.303257e-07,7.1923155e-06,0.000105652005,0.97860515,1.2847717e-06
0.0051341527,3.3436534e-06,0.0001357699,0.0048038145,0.44506264,0.5448603
0.039556693,2.4452506e-06,3.1401127e-05,0.0026553352,0.9561405,0.0016136086
0.008028703,1.1394708e-06,0.7856155,0.00099073,0.1741436,0.031220343
0.020415483,8.2214416e-07,2.9060571e-05,0.000108619235,0.97944564,3.9804473e-07
0.0067162896,8.447729e-08,4.8190163e-06,0.0004596617,0.99281824,9.040772e-07
0.0025407833,1.9460182e-05,0.00021822895,0.0033216623,0.3748463,0.61905354
2.0853147e-06,3.7081645e-07,0.00018125615,7.021516e-05,1.1717401e-05,0.99973434
0.0014094124,9.738629e-06,0.00028256665,0.00018088991,0.054407306,0.9437101
0.029916974,5.595886e-06,0.013269117,0.0018353061,0.56812805,0.38684505
0.013452842,1.6947853e-06,0.00015872248,0.0034168381,0.9829539,1.607483e-05
0.0077795587,3.4046778e-05,7.7184945e-05,0.00022381412,0.40254843,0.58933693
0.014022099,1.4286896e-05,0.0010467075,0.00015534279,0.96620077,0.01856083
0.02001978,3.3138836e-06,0.052537043,0.0027487215,0.71709406,0.20759706
0.016238391,5.465315e-07,9.054528e-06,0.0019813704,0.98017395,0.00159675
0.008913892,2.9151903e-05,0.009338035,0.00043696948,0.25364164,0.72764033
0.015818495,5.271698e-05,0.0069367797,0.038959693,0.70161897,0.23661338
0.036680095,7.195502e-07,2.1287458e-05,0.00051778107,0.9627555,2.4699326e-05
0.00022881984,4.794694e-06,0.004535728,0.00012152785,0.001625706,0.99348336
0.00037734697,2.2737806e-08,2.0624323e-06,8.220232e-06,0.9996117,6.763787e-07
0.108735986,0.00013841662,0.002989996,0.02699447,0.7486348,0.11250636
0.02333805,1.2671273e-07,0.028697949,0.00045309647,0.947506,4.6885243e-06
0.0015083699,2.3516604e-06,0.011471096,0.00025706866,0.97092,0.015841099
0.004298179,1.9430297e-05,0.0066518574,0.00024110275,0.018386582,0.9704029
0.0030574265,1.7718921e-07,5.81075e-06,4.5266403e-05,0.9968906,7.015786e-07
6.0385184e-05,7.619615e-08,2.4322526e-05,3.4735607e-05,0.007368555,0.992512
0.014580501,1.28687425e-05,0.0010398839,0.0026550924,0.8821086,0.09960304
0.018547168,0.00069387216,0.0011310469,0.0010437833,0.77523434,0.20334974
0.00015258456,1.7505862e-07,2.0949356e-05,3.212999e-05,0.05806635,0.9417278
0.0013967025,1.1457655e-06,0.017722398,0.0006115889,0.0700312,0.91023695
0.047278423,7.691927e-06,0.010145054,0.037208397,0.8448804,0.060480032
0.0014760148,9.142279e-07,4.000889e-05,0.924056,0.07247405,0.0019529987
0.00036842818,3.0448678e-06,0.9699332,0.00020545707,0.026778447,0.0027113687
0.0007323123,3.3720224e-07,0.0052043293,8.7818575e-05,0.15918218,0.83479303
0.058761038,0.00037481033,0.0026074098,0.00029244355,0.9343788,0.0035855495
0.012397079,4.254335e-06,0.010078654,0.00063851307,0.6159674,0.36091414
2.0918234e-05,6.887404e-05,0.0027823914,0.0001940651,0.00022448809,0.9967092
0.0019863087,5.6388337e-05,0.32751352,0.0039729774,0.13545047,0.5310204
0.0039828517,2.0492873e-05,0.0022788716,0.0009078554,0.9926359,0.00017407318
0.002982654,2.242871e-05,0.021909686,7.821994e-05,0.97498953,1.7537956e-05
0.0018672652,0.00012733976,0.7828644,0.00935408,0.03379232,0.1719945
0.015276414,9.85242e-07,0.011011862,0.00022251335,0.4521761,0.5213121
6.708707e-11,5.750582e-13,1.5864433e-11,2.6419034e-09,3.394234e-08,1.0
0.024633912,1.1287205e-05,0.008262607,0.0013888903,0.95222324,0.0134799965
0.005146504,3.6632032e-06,0.014314002,0.00080237054,0.2716428,0.7080906
0.008323532,5.575687e-07,9.177801e-05,0.0015200019,0.72444975,0.26561436
0.000407383,1.271367e-07,1.4403565e-05,0.00012219013,0.027131181,0.9723247
0.009423841,4.5452416e-06,0.00090097,0.0011514035,0.9787673,0.009752001
1.3577735e-05,0.0032944363,0.001619838,0.00018072993,2.828494e-05,0.9948631
0.0046898755,8.268282e-07,2.487459e-05,6.723313e-06,0.99525225,2.5543251e-05
0.0344233,3.6306071e-06,0.5711445,0.0005554085,0.34537527,0.048497975
0.0011532061,3.1520224e-06,0.00027847,0.00023885224,0.06691787,0.9314084
0.00018787693,0.013844229,0.9803028,0.0005429632,0.0015716631,0.0035504655
0.007825253,7.9095423e-07,0.0008680006,0.0012304517,0.9899328,0.00014280624
0.021203704,1.5762089e-05,0.8294011,0.0001617676,0.019881664,0.12933606
0.03489288,4.299767e-06,0.0003409793,0.0013213255,0.6197517,0.3436889
0.022035379,5.1814295e-06,0.00017771803,5.1293075e-05,0.9734831,0.004247308
0.0008139153,2.053488e-05,0.9631352,0.00050743803,0.0014536174,0.034069143
0.03558088,2.0867421e-06,0.016857916,0.00013544133,0.908064,0.0393597
0.0376071,0.005003856,0.009176922,0.0011139384,0.6157314,0.33136678
0.0015083699,2.3516604e-06,0.011471096,0.00025706866,0.97092,0.015841099
1.4601584e-05,0.05977412,0.8620093,5.5367873e-05,0.00018128095,0.07796526
3.1419087e-05,1.5655917e-07,1.080738e-05,1.9392472e-05,0.00049077324,0.9994474
0.05268073,1.1324927e-05,0.40754464,0.000817701,0.5007488,0.03819682
0.00055436214,4.9219917e-08,5.4993316e-06,0.0005741274,0.18786213,0.81100386
