,name,price,link
68,tEdyZg6EuTgS670,22290,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-betti_53709-id179988/
69,G0jb2WRMf6i2cGU,19599,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovat_alis-id150050/
70,7yC0AgZpFuCfAr7,23490,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovat_vesta_lait_160-id75799/
71,jQ4vXsgmKjDHlnW,12310,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-kamilla_47325-id149670/
72,NS2vDzNWEDzU5Iw,45090,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovati-shkaf-krovat-vertikalnaya-merlen-160h200-id86852/
73,H89MQEejunMPlSL,45990,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovat_kameliya-id150315/
74,nGJHn4OyDRBeUeI,21700,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-dvuspalnaya_krovat_oliviya_s-id122410/
75,PVzwffACRm6MSb9,11990,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-shtern_48834-id154765/
76,Hmq8oJwgdVUBeWi,18190,https://pm.ru/category/mebel-dlya-doma/krovati/odnospalnye-krovati/goods-krovat_jazz2-id96918/
77,OEH1KkizFFdfLJ3,11990,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-vegas_51812-id174675/
78,IwE0NbCN1UYdf9K,28880,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-freya_52695-id173841/
79,MhInGH9NCtqFhTk,14750,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovati-krovat-palermo-id70891/
80,PS78d8jPWXDmC1C,9990,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-vena_51672-id169878/
